2022-10-17 02:21:44,687 INFO    MainThread:1723806 [wandb_setup.py:_flush():68] Configure stats pid to 1723806
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_setup.py:_flush():68] Loading settings from /u/junkaiwu/.config/wandb/settings
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_setup.py:_flush():68] Loading settings from /u/junkaiwu/ECE537_Project/text2unit/scripts/wandb/settings
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-17 02:21:44,688 WARNING MainThread:1723806 [wandb_setup.py:_flush():68] Could not save program above cwd: /u/junkaiwu/ECE537_Project/text2unit/train.py
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': None, 'program': '/u/junkaiwu/ECE537_Project/text2unit/train.py'}
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_init.py:_log_setup():476] Logging user logs to /u/junkaiwu/ECE537_Project/text2unit/scripts/wandb/run-20221017_022144-143qd9dc/logs/debug.log
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_init.py:_log_setup():477] Logging internal logs to /u/junkaiwu/ECE537_Project/text2unit/scripts/wandb/run-20221017_022144-143qd9dc/logs/debug-internal.log
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_init.py:init():516] calling init triggers
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_init.py:init():569] starting backend
2022-10-17 02:21:44,688 INFO    MainThread:1723806 [wandb_init.py:init():573] setting up manager
2022-10-17 02:21:44,690 INFO    MainThread:1723806 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-17 02:21:44,692 INFO    MainThread:1723806 [wandb_init.py:init():580] backend started and connected
2022-10-17 02:21:44,693 INFO    MainThread:1723806 [wandb_init.py:init():658] updated telemetry
2022-10-17 02:21:44,693 INFO    MainThread:1723806 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-10-17 02:21:44,814 INFO    MainThread:1723806 [wandb_run.py:_on_init():2000] communicating current version
2022-10-17 02:21:44,861 INFO    MainThread:1723806 [wandb_run.py:_on_init():2004] got version response 
2022-10-17 02:21:44,861 INFO    MainThread:1723806 [wandb_init.py:init():728] starting run threads in backend
2022-10-17 02:21:48,492 INFO    MainThread:1723806 [wandb_run.py:_console_start():1980] atexit reg
2022-10-17 02:21:48,493 INFO    MainThread:1723806 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-17 02:21:48,493 INFO    MainThread:1723806 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-17 02:21:48,493 INFO    MainThread:1723806 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-17 02:21:48,493 INFO    MainThread:1723806 [wandb_init.py:init():765] run started, returning control to user process
